«Не уличена – не гулена». А как начинается эта пословица?|Не пойман – не вор
Фромм говорил: «Согласно воззрениям пророков, проецируя на эту вещь свою собственную силу, мы обедняем, таким образом, самих себя.» О чем он говорил?|об идолах
Чешский писатель Карел Чапек как-то заметил: «Представьте себе, какая была бы тишина, если бы люди говорили только то, что...» Закончите фразу.|знают
Что Зигмунд Фрейд называл «Общечеловеческим навязчивым неврозом»?|религию
Что нужно сделать, согласно аксиоме Аллена, если все ваши оригинальные способы провести эксперимент окажутся бесплодными?|прочесть инструкцию
Шерифу в округе Куйахого (штат Огайо) было приказано прекратить розыск 4982 лиц, преследуемых за различные преступления. Решение это диктовалось практическими целями. Какими?|в тюрьме не было места
Эта американская компания была основана в 1916 году. С тех пор она зарекомендовала себя настолько хорошо, что ее продукцию в Эр-Рияде принимал «Король Халид», в Париже «Шарль де Голль», в Тель-Авиве «Бен Гурион», в Джидде «Король Абдель Азиз». Наконец, в США, в Нью-Йорке, ее принимал 35-й президент США. Что это за фирма?|Боинг
Эта династия выдвинулась в X-XI века Выдающимися ее представителями были Давид Строитель, Георгий III, царица Тамара. А самый известный отпрыск этого рода зарекомендовал себя и проявил свой талант в Италии, Швейцарии, Пруссии, России. А где находится его могила?|на Бородинском поле.
Эта относительно новая наука получила свое развитие в трудах англичанина Кэли и немцев Листинга и Мебиуса. Основы ее заметил некий житель Кенигсберга. А теперь скажите, сколько мостов было перекинуто через реку Прегель в черте Кенигсберга?|Семь
Эта сура помещена в самое начало Корана, хотя на деле она завершала собой цикл поэтических сур. Она считается одной из самых поэтически совершенных сур Корана. А как называется эта сура?|Фатиха
Это хорошо известное архитектурное сооружение находилось в земле Сеннаар.|Вавилонская башня
Этот политический деятель, по профессии юрист, родился в 1869 году. 11 лет своей жизни он прожил в Южной Африке. По возвращении на родину он возглавил политическую партию и стал крупнейшим национальным лидером. В 1948 году он был убит членами шовинистической организации. Назовите этого человека.|Махатма Ганди
Этот прибор был создан в 1921 году. Отдельные его элементы используются в медицине. Хотя ряд советских и американских юристов считают его использование в политических и общественных целях крайне неэффективным, тем не менее Рейган доверял ему, а Михаил Булгаков закрепил его имя в литературе. Назовите этот прибор.|полиграф
Этот раздел искусствоведения оформился в конце XIX – начале XX века в Германии и США под идейным руководством Барри Фридлендера. Цель его – определение ценности произведений искусства. Судя по названию этого раздела, оно не чуждо и вам, ибо его адептом можно назвать и Друзя, и Бурду, и Двинятина, и Вассермана. Назовите это течение.|знаточество
Этот термин Ницше позаимствовал у Поля Бурже, а тот, в свою очередь, взял его у Тургенева. Вы с легкостью назовете это слово, если вспомните, как переводится на латинский язык слово «ничто».|нигилизм
