Австралийская река.|Ногоа
Город в Орловской области.|Болхов
Город в Орловской области.|Волхов
Город в Орловской области.|Мценск
Город в Павлодарской области, на реке Иртыш.|Ермак
Город в Пакистане, в Пенджабе.|Сиалкот
Город в Пакистане.|Кветта
Город в Пакистане.|Лахор
Город в Пакистане.|Лаялпур
Город в Пакистане.|Мултан
Город в Пакистане.|Окара
Город в Пакистане.|Суккур
Город в Палестине.|Иерусалим
Город в Панаме.|Чепо
Город в Пензенской области.|Городище
Город в Пензенской области.|Кузнецк
Город в Пензенской области.|Мокшан
Город в Пензенской области.|Никольск
Город в Пензенской области.|Сурск
Город в Пермской области с названием насекомого.|Оса
Город в Перу.|Ика
Город в Перу.|Икитос
Город в Перу.|Ило
Город в Перу.|Куско
Город в Перу.|Ороя
Город в Польше на реке Неман.|Вроцлав
Город в Польше, административный центр одного из воеводств.|Люблин
Город в Польше, порт в устье Одры.|Щецин
Город в Польше, центр воеводства.|Калиш
Город в Польше, центр воеводства.|Ополе
Город в Польше.|Быдгощ
Город в Польше.|Бытом
Город в Польше.|Гливице
Город в Польше.|Жешув
Город в Польше.|Избицко
Город в Польше.|Илава
Город в Польше.|Колобжег
Город в Польше.|Конин
Город в Польше.|Краков
Город в Польше.|Лодзь
Город в Польше.|Олесница
Город в Польше.|Отвоцк
Город в Польше.|Плоцк
Город в Польше.|Познань
Город в Польше.|Радом
Город в Польше.|Санок
Город в Польше.|Свеце
Город в Польше.|Сопот
Город в Польше.|Тарнув
Город в Польше.|Торунь
Город в Польше.|Туже
Город в Польше.|Хожув
Город в Португалии.|Абрантиш
Город в Португалии.|Бежа
Город в Португалии.|Брага
Город в Португалии.|Браганса
Город в Португалии.|Визеу
Город в Португалии.|Коимбра
Город в Португалии.|Сантарен
Город в Прибалтике.|Валка
Город в пригороде Парижа.|Орли
Город в Приморском крае.|Агау
Город в Приморском крае.|Артем
Город в Приморском крае.|Сучан
Город в Псковской обл.|Дно
Город в республике Коми, близ полярного круга.|Инта
Город в республике Коми.|Воркута
Город в республике Коми.|Инта
Город в Республике Корее, порт на Японском море в провинции Кенсан-Намдо.|Ульсан
Город в Ровенской области.|Острог
Город в России (Красноярский край), с глиноземным комбинатом.|Ачинск
Город в России Кировская область.|Кирс
Город в России Кировская область.|Луза
Город в России Кировская область.|Малмыж
Город в России Кировская область.|Орлов
Город в России Кировская область.|Уржум
Город в России Кировская область.|Яранск
Город в России Новгородская область.|Беровичи
Город в России Пермская область, порт на Камском водохранилище (до 1933 Усолье-Соликамское).|Березники
Город в России, Алтайский край (с 1939).|Алейск
Город в России, Башкирия (с 1992).|Агидель
Город в России, Белгородская область, на реке Тихая Сосна (с 1954).|Алексеевка
Город в России, Бурятия.|Кяхта
Город в России, Владимирская область.|Александров
Город в России, Владимирская область.|Киржач
Город в России, Владимирская область.|Ковров
Город в России, Владимирская область.|Лакинск
Город в России, Владимирская область.|Меленки
Город в России, Владимирская область.|Муром
Город в России, Владимирская область.|Петушки
Город в России, Владимирская область.|Покров
Город в России, Владимирская область.|Урюпинск
Город в России, Дагестан.|Буйнакск
Город в России, Дагестан.|Кизляр
Город в России, Екатеринбургская область (с 1938, ранее пос. Егоршино).|Артемовский
Город в России, Каланинградская область.|Гурьевск
Город в России, Каланинградская область.|Гусев
Город в России, Каланинградская область.|Ладушкин
Город в России, Каланинградская область.|Мамоново
Город в России, Каланинградская область.|Мамонтов
Город в России, Каланинградская область.|Неман
Город в России, Каланинградская область.|Нестеров
Город в России, Каланинградская область.|Озерск
Город в России, Каланинградская область.|Полесск
Город в России, Каланинградская область.|Приморск
Город в России, Каланинградская область.|Светлый
Город в России, Каланинградская область.|Славск
Город в России, Калужская область.|Боровск
Город в России, Калужская область.|Киров
Город в России, Калужская область.|Козельск
Город в России, Калужская область.|Медынь
Город в России, Калужская область.|Мещовск
Город в России, Калужская область.|Обнинск
Город в России, Калужская область.|Сухиничи
Город в России, Калужская область.|Таруса
Город в России, Калужская область.|Юхнов
Город в России, Калужскя область.|Жиздра
Город в России, Карелия.|Кемь
Город в России, Карелия.|Оленец
Город в России, Карелия.|Пудож
Город в России, Карелия.|Сортавала
Город в России, Коми.|Емва
Город в России, Коми.|Печора
Город в России, Краснодарский край, на р. Кубань.|Армавир
Город в России, Краснодарский край, на р. Пшеха (с 1947).|Апшеронск
Город в России, Краснодарский край.|Адлер
Город в России, Краснодарский край.|Ейск
Город в России, Краснодарский край.|Тимашевск
Город в России, Красноярский край (с 1939, ранее пос. Ольховский).|Артемовск
Город в России, Красноярский край, пристань на р. Чулым (с 1782).|Ачинск
Город в России, Красноярский край.|Абакан
Город в России, Красноярский край.|Боготол
Город в России, Красноярский край.|Канск
Город в России, Красноярский край.|Карск
Город в России, Красноярский край.|Талнах
Город в России, Красноярский край.|Ужур
Город в России, Красноярский край.|Уяр
Город в России, Курганская область.|Куртамыш
Город в России, Курская область.|Льгов
Город в России, Курская область.|Обоянь
Город в России, Курская область.|Рыльск
Город в России, Курская область.|Суджа
Город в России, Курская область.|Фатеж
Город в России, Курская область.|ЩИгры
Город в России, Марий-Эл.|Волжск
Город в России, Мордовия, на р. Алатырь (с 1780).|Ардатов
Город в России, Московская область (с 1939).|Балашиха
Город в России, Московская область (с 1961).|Апрелевка
Город в России, Московская область на реке Протва.|Верея
Город в России, Московская область, в XIV-XV в центр княжества.|Верея
Город в России, Московская область.|Видное
Город в России, Московская область.|Дедовск
Город в России, Московская область.|Дмитров
Город в России, Московская область.|Дрезна
Город в России, Московская область.|Дубна
Город в России, Московская область.|Истра
Город в России, Московская область.|Кашира
Город в России, Московская область.|Клин
Город в России, Московская область.|Лобня
Город в России, Московская область.|Можайск
Город в России, Московская область.|Мытищи
Город в России, Московская область.|Одинцово
Город в России, Московская область.|Озеры
Город в России, Московская область.|Пущино
Город в России, Московская область.|Рошаль
Город в России, Московская область.|Руза
Город в России, Московская область.|Сходня
Город в России, Московская область.|Талдом
Город в России, Московская область.|Троицк
Город в России, Московская область.|Химки
Город в России, Московская область.|Шатура
Город в России, Московская область.|Яхрома
Город в России, Московская область; город в Белоруссии.|Иваново
Город в России, Московская область; левый приток реки Москвы.|Истра
Город в России, Московская область; приток Волги.|Дубна
Город в России, Московская область; приток Москва-реки.|Руза
Город в России, Мурманская области.|Полярный
Город в России, Мурманская область, вблизи озера Имандра (с 1966).|Апатиты
Город в России, Новосибирская области.|Татарск
Город в России, Новосибирская области.|Чулым
Город в России, Пензенская область.|Никольск
Город в России, Пермская область.|Александровск
Город в России, Пермская область.|Кизел
Город в России, Пермская область.|Кунгур
Город в России, Пермская область.|Лысьва
Город в России, Пермская область.|Нытва
Город в России, Пермская область.|Оханск
Город в России, Пермская область.|Очер
Город в России, Пермская область.|Усолье
Город в России, Пермская область.|Чердынь
Город в России, Псковская область.|Гдов
Город в России, Псковская область.|Невель
Город в России, Псковская область.|Новоржев
Город в России, Псковская область.|Опочка
Город в России, Псковская область.|Остров
Город в России, Псковская область.|Печоры
Город в России, Псковская область.|Порхов
Город в России, Псковская область.|Пустошка
Город в России, Псковская область.|Пыталово
Город в России, Псковская область.|Себеж
Город в России, Рязанская область.|Ряжск
Город в России, Рязанская область.|Сасово
Город в России, Рязанская область.|Скопин
Город в России, Рязанская область.|Шацк
Город в России, Саратовская область.|Аткарск
Город в России, Саратовская область.|Вольск
Город в России, Саратовская область.|Петровск
Город в России, Саратовская область.|Пугачев
Город в России, Саратовская область.|Ртищево
Город в России, Саратовская область.|Хвалынск
Город в России, Сахалинская область.|Курильск
Город в России, Сахалинская область.|Оха
Город в России, Сахалинская область.|Томари
Город в России, Сахалинская область.|Холмск
Город в России, Сахалинская область.|Чехов
Город в России, Свердловская область, на р. Исеть (с 1966).|Арамиль
Город в России, Свердловская область, на р. Нейва.|Алапаевск
Город в России, Свердловская область, на реке Турья.|Карпинск
Город в России, Свердловская область.|Артемовский
Город в России, Свердловская область.|Асбест
Город в России, Свердловская область.|Волчанск
Город в России, Свердловская область.|Дегтярск
Город в России, Свердловская область.|Ивдель
Город в России, Свердловская область.|Ирбит
Город в России, Свердловская область.|Камышлов
Город в России, Свердловская область.|Карпинск
Город в России, Свердловская область.|Качканар
Город в России, Свердловская область.|Кировград
Город в России, Свердловская область.|Кувша
Город в России, Свердловская область.|Кушва
Город в России, Свердловская область.|Невьянск
Город в России, Свердловская область.|Ревда
Город в России, Свердловская область.|Реж
Город в России, Свердловская область.|Серов
Город в России, Свердловская область.|Сысерть
Город в России, Свердловская область.|Тавда
Город в России, Свердловская область.|Талица
Город в России, Свердловская область.|Титаник
Город в России, Свердловская область.|Туринск
Город в России, Северная Осетия (с 1950).|Беслан
Город в России, Северная Осетия.|Моздок
Город в России, Смоленская область.|Велиж
Город в России, Смоленская область.|Вязьма
Город в России, Смоленская область.|Гагарин
Город в России, Смоленская область.|Демидов
Город в России, Смоленская область.|Ельня
Город в России, Смоленская область.|Ржев
Город в России, Смоленская область.|Рудня
Город в России, Смоленская область.|Сафонова
Город в России, Смоленская область.|Сафоново
Город в России, Смоленская область.|Ярцево
Город в России, Тамбовская область.|Кирсанов
Город в России, Тамбовская область.|Котовск
Город в России, Тамбовская область.|Моршанск
Город в России, Тамбовская область.|Уварово
Город в России, Татария (с 1987).|Азнакаево
Город в России, Татария (с 1987).|Монюшко
Город в России, Татарстан (с 1938).|Агрыз
Город в россии, Татарстан.|Агрыз
Город в России, Татарстан.|Альметьевск
Город в россии, Татарстан.|Бугульма
Город в России, Татарстан.|Буинск
Город в России, Татарстан.|Тетюши
Город в России, Тверская область, на реке Молога.|Бежецк
Город в России, Тверская область.|Андреаполь
Город в России, Тверская область.|Белый
Город в России, Тверская область.|Бологое
Город в России, Тверская область.|Доронин
Город в России, Тверская область.|Зубцов
Город в России, Тверская область.|Калязин
Город в России, Тверская область.|Кимры
Город в России, Тверская область.|Кирмы
Город в России, Тверская область.|Конаково
Город в России, Тверская область.|Нелидово
Город в России, Тверская область.|Осташков
Город в России, Тверская область.|Ржев
Город в России, Тверская область.|Торжок
Город в России, Тверская область.|Торопец
Город в России, Тверская область.|Удомля
Город в России, Тверской области, пристань на Волге.|Старица
Город в России, Тульская область, пристань на Оке.|Алексин
Город в России, Тульская область.|Алексин
Город в России, Тульская область.|Белев
Город в России, Тульская область.|Венев
Город в России, Тульская область.|Донской
Город в России, Тульская область.|Киреевск
Город в России, Тульская область.|Липки
Город в России, Тульская область.|Плавок
Город в России, Тульская область.|Плавск
Город в России, Тульская область.|Чекалин
Город в России, Тульская область.|Щекино
Город в России, Удмуртия.|Боткинск
Город в России, Удмуртия.|Глазов
Город в России, Хабаровский край (с 1973).|Амурск
Город в России, Хакасия (с 1966).|Абаза
Город в России, Челябинская область (с 1951).|Бакал
Город в России, Чечня (с 1967).|Аргун
Город в России, Читинская область.|Нерчинск
Город в России, Чукотский автономный округ, при слиянии рек Каральвеем и Б. Капервеем (с 1993).|Билибино
Город в России, Ямало-Ненецкий нац. округ.|Надым
Город в России, Ярославской области.|Любим
Город в России, Ярославской области.|Тутаев
Город в России, Ярославской области.|Углич
Город в России; приток Волги.|Самара
Город в Ростовской области.|Аксай
Город в Ростовской области.|Донецк
Город в Ростовской области.|Константиновск
Город в Ростовской области.|Сальск
Город в Ростовской области.|Шахты
Город в Румынии, административный центр жудеца Телеорман.|Александрия
Город в Румынии.|Ардуд
Город в Румынии.|Бакэу
Город в Румынии.|Бистрица
Город в Румынии.|Браила
Город в Румынии.|Брашов
Город в Румынии.|Брэила
Город в Румынии.|Бузэу
Город в Румынии.|Бырлад
Город в Румынии.|Васлуй
Город в Румынии.|Залэу
Город в Румынии.|Истрия
Город в Румынии.|Клуж
Город в Румынии.|Орадя
Город в Румынии.|Питешти
Город в Румынии.|Плоешти
Город в Румынии.|Сибиу
Город в Румынии.|Сучава
Город в Румынии.|Фокшани
Город в Румынии.|Яссы
Город в Рязанской области, пристань на Оке.|Касимов
Город в Саксонии (Германия).|Ауэрштедт
Город в Самарской области.|Кинель
Город в Самарской области.|Отрадный
Город в Самарской области.|Сызрань
Город в Самарской области.|Чапаевск
Город в Саратовской области, с 1963.|Аркадак
Город в Саратовской области; на Украине.|Дергачи
Город в Сардинии.|Ольбия
Город в Саудовской Аравии.|Мекка
Город в Саудовской Аравии.|Хуфуф
Город в Сахаре.|Адрар
Город в Северной Индии.|Барели
Город в Северной Италии.|Анникко
Город в Северной Италии.|Аоста
Город в Северной Италии.|Верона
Город в Северной Италии.|Новара
Город в Северной Корее.|Кэсон
Город в Северной Осетии, на р. Ардон, на Военно-Осетинской дороге (с 1938).|Алагир
Город в Северной Осетии.|Моздок
Город в северной части Вьетнама.|Тханьхоа
Город в северной части Индии, штат Уттар-Прадеш.|Алигарх
Город в северном Китае.|Лоян
Город в Северо-восточном Китае.|Ляоян
Город в северо-западном Иране.|Эрак
Город в Сербии.|Ниш
Город в Сербии.|Приштина
Город в Сербии.|Суботица
Город в Сирии.|Хама
Город в Словакии на одноименной реке.|Нитра
Город в Словакии.|Жилина
Город в Словакии.|Кошице
Город в Словакии.|Попрад
Город в Словакии.|Прешов
Город в Словакии.|Трнава
Город в Средней Азии, Кыргызстан.|Каракол
Город в Средней Азии, Кыргызстан.|Ош
Город в Средней Азии, Узбекистан.|Гулистан
Город в Средней Азии.|Мары
Город в Средней Азии.|Нарын
Город в Средней Азии.|Панночка
Город в Средней Азии.|Рыбачье
Город в Средней Азии.|Ташауз
Город в Средней Азии.|Худжанд
Город в Средней Азии.|Чарджоу
Город в Судане.|Атбара
Город в Судане.|Омдурман
Город в Сумской области, Украина.|Глухов
Город в Сумской области, Украина.|Конотоп
Город в США, в штате Колорадо.|Ламар
Город в США, штат Огайо.|Акрон
Город в США.|Абердин
Город в США.|Аллентаун
Город в США.|Алтес
Город в США.|Алтуна
Город в США.|Альбукерке
Город в США.|Амарилло
Город в США.|Биллингз
Город в США.|Битти
Город в США.|Бомонт
Город в США.|Боргер
Город в США.|Бостон
Город в США.|Буфало
Город в США.|Венд
Город в США.|Глендейл
Город в США.|Денвер
Город в США.|Инид
Город в США.|Каспер
Город в США.|Кервилл
Город в США.|Колумбус
Город в США.|Лаббок
Город в США.|Луисвилл
Город в США.|Мадисон
Город в США.|Медфорд
Город в США.|Мемфис
Город в США.|Мерсед
Город в США.|Мобил
Город в США.|Модесто
Город в США.|Огдан
Город в США.|Окленд
Город в США.|Омаха
Город в США.|Остин
Город в США.|Пасадена
Город в США.|Пеорня
Город в США.|Реддинг
Город в США.|Рочестер
Город в США.|Сайлем
Город в США.|Сиэтл
Город в США.|Спокан
Город в США.|Такома
Город в США.|Трентон
Город в США.|Тусон
Город в США.|Уичито
Город в США.|Финике
Город в США.|Флинт
Город в США.|Фреско
Город в США.|Фресно
Город в США.|Хелина
Город в США.|Шайенн
Город в США.|Элизабет
Город в США.|Ютика
Город в США.|Юцжин
Город в Сьерра-Леоне.|Бо
Город в Таджикистане, Горный Бадахшан.|Хорог
Город в Таджикистане, Ходжент.|Худжент
Город в Таджикистане.|Куляб
Город в Таджикистане.|Нурек
Город в Таджикистане.|Пяндж
Город в Таджикистане.|Регар
Город в Таджикистане.|Ходжент
Город в Таджикистане.|Хорог
Город в Таиланд, в низовьях реки Менам-Чао-Прая, Аютия, Прa-Накхон-Си-Аюттхая.|Аюттхая
Город в Таиланде, в низовьях р. Менам-Чао-Прая, Аютия, Пра-Накхон-Си-Аюттхая.|Аюттхая
Город в Таиланде, в низовьях р. Менам-Чао-Прая, Аюттхая, Пра-Накхон-Си-Аюттхая.|Аютия
Город в Таиланде.|Нан
Город в Таиланде.|Так
Город в Танзании, на берегу оз. Виктория.|Мванза
Город в Татарстане, на реке Кама.|Елабуга
Город в Ташкентской области (в 16 км от ж/д станции Кучлук).|Аккурган
Город в Ташкентской области Узбекистана.|Паркент
Город в Тернопольской области на реке Збруч.|Скалат
Город в Техасе.|Амарилло
Город в Того.|Анехо
Город в Туве.|Чадан
Город в Тунисе.|Бизерта
Город в Тунисе.|Тозер
Город в Туркмении, областной центр.|Ташауз
Город в Туркмении, с 1963, Безмеин.|Бюзмейин
Город в Туркмении.|Ташауз
Город в Туркмении.|Теджен
Город в Туркмении.|чарджоу
Город в Туркменистане.|Керки
Город в Туркменистане.|Кушка
Город в Туркменистане.|Мары
Город в Туркменистане.|Ташауз
Город в Туркменистане.|Теджен
Город в Туркменистане.|Чарджоу
Город в Турции на границе с Грузией.|Посов
Город в Турции, административный центр одноименного иля.|Мараш
Город в Турции, административный центр.|Эдирне
Город в Турции, порт на Черном море.|Синоп
Город в Турции, центр одноименного вилайета.|Чорум
Город в Турции.|Адана
Город в Турции.|Акшехир
Город в Турции.|Бурса
Город в Турции.|Денизли
Город в Турции.|Карс
Город в Турции.|кютахья
Город в Турции.|Окам
Город в Турции.|Татван
Город в Турции.|тенен
Город в Турции.|Токат
Город в Тюменской области на одноименной реке.|Ишим
Город в Тюменской области.|Уренгой
Город в Удмуртии.|Глазов
Город в Удмуртии.|Игра
Город в Удмуртии.|Можга
Город в Узбекистане, Андижанская область (до 1975 пос. Суфикишлак).|Ахунбабаев
Город в Узбекистане, Бухарская область, с 1982.|Алат
Город в Узбекистане, в Ферганской области.|Коканд
Город в Узбекистане, газовое месторождение.|Газли
Город в Узбекистане, Каракалпакия до 1958 Шаббаз, Бируни.|Беруни
Город в Узбекистане, Каракалпакия.|Нукус
Город в Узбекистане, Самаркандская область (с 1967).|Акташ
Город в Узбекистане, Сурхандарьинская область (с 1975).|Байсун
Город в Узбекистане, Сырдарьинская область (с 1980).|Бахт
Город в Узбекистане, Ташкенская область, на р. Ахангаран (с 1946).|Ангрен
Город в Узбекистане, Ташкентская область (с 1951).|Алмалык
Город в Узбекистане, Ташкентская область (с 1966).|Ахангаран
Город в Узбекистане, Ташкентская область (с 1980).|Аккурган
Город в Узбекистане, Ферганская область (с 1983).|Бешарык
Город в Узбекистане.|Акташ
Город в Узбекистане.|Арматор
Город в Узбекистане.|Ассака
Город в Узбекистане.|Ахунбабаев
Город в Узбекистане.|Бухара
Город в Узбекистане.|Вабкент
Город в Узбекистане.|Гиждуван
Город в Узбекистане.|Гузар
Город в Узбекистане.|Гурлен
Город в Узбекистане.|Джамбай
Город в Узбекистане.|Джизак
Город в Узбекистане.|Джума
Город в Узбекистане.|Каган
Город в Узбекистане.|Кальвин
Город в Узбекистане.|Кармана
Город в Узбекистане.|Карши
Город в Узбекистане.|Касан
Город в Узбекистане.|Нукус
Город в Узбекистане.|Пайтуг
Город в Узбекистане.|Пахтакор
Город в Узбекистане.|Термез
Город в Узбекистане.|Ургенч
Город в Узбекистане.|Ургут
Город в Узбекистане.|Фергана
Город в Узбекистане.|Хазарасп
Город в Узбекистане.|Ханка
Город в Узбекистане.|Хива
Город в Узбекистане.|Челек
Город в Узбекистане.|Чиназ
Город в Узбекистане.|Чуст
Город в Узбекистане.|Шават
Город в Узбекистане.|Ширин
Город в Узбекистане; река в Дагестане.|Акташ
Город в Украине, в Черкасской области.|Умань
Город в Украине, Черкасская область.|Канев
Город в Ульяновской области, с 1954.|Барыш
Город в Ульяновской области.|Инза
Город в Уругвае.|Мерседес
Город в Финляндии.|Аска
Город в Финляндии.|Берендей
Город в Финляндии.|Варкаус
Город в Финляндии.|Васа
Город в Финляндии.|Вуотсо
Город в Финляндии.|Ивало
Город в Финляндии.|Инари
Город в Финляндии.|Исалми
Город в Финляндии.|Каяни
Город в Финляндии.|Кемиярви
Город в Финляндии.|Киннула
Город в Финляндии.|Коккола
Город в Финляндии.|Коувола
Город в Финляндии.|Куопио
Город в Финляндии.|Кусамо
Город в Финляндии.|Кюярви
Город в Финляндии.|Лахти
Город в Финляндии.|Лиекса
Город в Финляндии.|Муонио
Город в Финляндии.|Нурмес
Город в Финляндии.|Оулайпен
Город в Финляндии.|Оулу
Город в Финляндии.|Пуоланка
Город в Финляндии.|Раума
Город в Финляндии.|Рахе
Город в Финляндии.|Соткамо
Город в Финляндии.|Тампере
Город в Финляндии.|Утаярви
Город в Финляндии.|Ханко
Город в Финляндии.|Хапаярви
Город в Финляндии.|Эспо
Город в Финляндии.|Ювяскюля
Город в Финляндии.|Ямся
Город в Хабаровском крае.|Амурск
Город в Хабаровском крае.|Охотск
Город в Хабаровском крае.|Хор
Город в Хакасии.|Теи
Город в Ханты-Мансийском автономном округе.|Урай
Город в Ханты-Мансийском округе.|Сургут
Город в Харьковской области.|Мерефа
Город в Херсонской области.|Каховка
Город в Хорватии, порт на реке Сава.|Сисак
Город в Хорватии.|Задар
Город в Хорватии.|Осиек
Город в Хорватии.|Риска
Город в Хорватии.|Сплит
Город в Хорезмской области.|Шават
Город в Целиноградской области, Казахстан.|Атбасар
Город в центральн. части Китая.|Ибинь
Город в Центральной Африке.|Монгу
Город в центральной Индии.|Нагпур
Город в Центральной Италии, в Тоскане.|Лукка
Город в Центральной Италии.|Пиза
Город в Центральной Мексика, административный центр штата.|Агуаскальентес
Город в Центральной части Ирана.|Наин
Город в центральной части США.|Уичито
Город в центральной часть Монголии, административный центр Увэрхангайского аймака.|Арвайхэрэ
Город в центре Ирана.|Исфахан
Город в центре о. Хонсю.|Ина
Город в Чаде.|Мао
Город в Челябинской области.|Златоуст
Город в Челябинской области.|Карабаш
Город в Челябинской области.|Касли
Город в Челябинской области.|Копейск
Город в Челябинской области.|КыштыМ
Город в Челябинской области.|Миасс
Город в Челябинской области.|Миньяр
Город в Челябинской области.|Оша
Город в Челябинской области.|Сатка
Город в Челябинской области.|Троицк
Город в Челябинской области.|Тургояк
Город в Челябинской области.|Юрюзань
Город в Черниговской области.|Остер
Город в Черниговской области.|Прилуки
Город в Черновицкой области на реке Днестр.|Хотин
Город в Чехии, где проводятся текстильные ярмарки.|Либерец
Город в Чехии, на реке Ныса-Лужицка.|Яблонец
Город в Чехии, порт на р. Лаба.|Дечин
Город в Чехии, центр каменноугольного бассейна.|Кладно
Город в Чехии.|Брно
Город в Чехии.|Злин
Город в Чехии.|Йиглава
Город в Чехии.|Кладно
Город в Чехии.|Либерец
Город в Чехии.|Мост
Город в Чехии.|Оломоуц
Город в Чехии.|Пльзень
Город в Чехии.|Садова
Город в Чехии.|Срно
Город в Чехии.|Усти
Город в Чехии.|Хомутов
Город в Чехии.|Яблонец
Город в Чехословакии, место производства всемирно известного сорта пива.|Пльзень
Город в Чехословакии.|Брно
Город в Чехословакии.|Кладно
Город в Чехословакии.|Мост
Город в Чехословакии.|Славков
Город в Чехословакии.|Тин
Город в Чили.|Ранкагуа
Город в Читинской области на одноименной реке.|Хилок
Город в Читинской области, на реке Унда (до 1938 с. Новотроицкий Промысел).|Балей
Город в Читинской области.|Акима
Город в Читинской области.|Сретенск
Город в Читинской области.|Шилка
Город в Чукотском автономном округе.|Певек
Город в Швейцарии, административный центр кантона.|Фрибур
Город в Швейцарии.|Баден
Город в Швейцарии.|Базель
Город в Швейцарии.|Монтре
Город в Швеции, в долине Вестманланд.|Сала
Город в Швеции.|Варберг
Город в Швеции.|Идре
Город в Швеции.|Карлсборг
Город в Швеции.|Карлстад
Город в Швеции.|Кируна
Город в Швеции.|Сурселе
Город в Швеции.|Тургенев
Город в Швеции.|Упсала
Город в Шотландии.|Атлантида
Город в Шотландии.|Данди
Город в Шри-Ланка.|Джафна
Город в Шри-Ланка.|Канди
Город в штате Вирджиния (США).|Ричмонд
Город в штате Джорджия США.|Огаста
Город в штате Кентукки.|Луисвилл
Город в штате Махараштра (Индия).|Амаравати
Город в штате Миссури.|Ролла
Город в Эстонии.|Валга
Город в Эстонии.|Выру
Город в Эстонии.|Калласте
Город в Эстонии.|Кейла
Город в Эстонии.|Кунда
Город в Эстонии.|Кярдла
Город в Эстонии.|Маарду
Город в Эстонии.|Отепя
Город в Эстонии.|Пайде
Город в Эстонии.|Пярну
Город в Эстонии.|Раквере
Город в Эстонии.|Синди
Город в Эстонии.|Тапа
Город в Эстонии.|Тырва
Город в Эстонии.|Тюри
Город в Эстонии.|Хаапсалу
Город в Эстонии.|Элва
Город в Эстонии; река в Латвии.|Пярну
Город в Эстония (с 1938).|Антсла
Город в Эфиопии.|Асмара
Город в Эфиопии.|Гинир
Город в Эфиопии.|Назрет
Город в Эфиопии.|Харар
Город в ЮАР, пригород Йоханнесбурга.|Бенони
Город в ЮАР.|Бенони
Город в ЮАР.|Боксбург
Город в Югославии, на реке Сава.|Крань
Город в Югославии.|Ниш
Город в Югославии.|Сараево
Город в Югославии.|Сплит
Город в Югославии.|Трогир
Город в Южной Америке, Бразилия.|Куритиба
Город в Южной Америке, Колумбия.|Кали
Город в Южной Америке, Колумбия.|Медельин
Город в Южной Америке, Перу.|Арекипа
Город в Южной Америке, Перу.|Трухильо
