Азербайджанский ударный музыкальный инструмент типа бубна (дэф, дяф, даф).|гавал
Достопримечательность: храм, в Фивах, Египет.|Карнак
Древнегреческий и древнееврейский многострунный музыкальный инструмент.|псалтерион
Древнегреческий музыкальный инструмент, двухствольная свирель.|авлос
Древнегреческий однострунный щипковый музыкальный инструмент.|монохорд
Древнегреческий полис.|Коринф
Древнегреческий тиран Сиракуз.|Агафокл
Древнегреческий учёный и изобретатель.|Герон
Древнегреческий щипковый музыкальный инструмент.|форминга
Древнегреческий эпос.|Илиада
Древнегреческий эпос.|Одиссея
Древнее государство (Сев. Двуречье).|Ассирия
Древнее государство в Азии.|Индия
Древнее государство в Азии.|Парфия
Древнее государство в Африке.|Египет
Древнее государство в Восточной Грузии, Иберия.|Картли
Древнее государство в Двуречье на территории современного Ирака.|Ассирия
Древнее государство в Двуречье.|Аккад
Древнее государство в Двуречье.|Шумер
Древнее государство в Закавказье.|Атропатена
Древнее государство в Западной Азии.|Мидия
Древнее государство в Западной Азии.|Элам
Древнее государство в Индии.|Андхра
Древнее государство в Малой Азии.|Галатия
Древнее государство в малой Азии.|Лидия
Древнее государство в Малой Азии.|ПерГам
Древнее государство в Малой Азии.|Понт
Древнее государство в Палестине.|Иудея
Древнее государство в Палестине.|Ханаан
Древнее государство в С. Азии, Согдиана.|Согд
Древнее государство в С. Азии.|Кангюй
Древнее государство в Северном Причерноморье.|Скифия
Древнее государство в Средней Азии.|Хорезм
Древнее государство в Финикии.|Арвад
Древнее государство в Шумере.|Лагаш
Древнее государство в Южном Азербайджане (4 в. до н.э. - 7 в. н.э.), столица - г. Газака.|Атропатена
Древнее государство Малой Азии.|Фригия
Древнее государство на Кавказе.|Урарту
Древнее государство на реке Тибр.|Рим
Древнее государство на Таманском полуострове.|Синдика
Древнее государство на территории Армении, откуда к нам попала рожь.|Урарту
Древнее государство на территории нынешней Украины.|Таврия
Древнее государство на территории современного Судана.|Алоа
Древнее государство с Причерноморье.|Боспор
Древнее государство южнее Египта.|Пунт
Древнее государство, знаменитое своим воспитанием.|Спарта
Древнее государство, Лакедемон.|Спарта
Древнее государство, Лаконика, Лакония.|Спарта
Древнее государство, основанное братьями Ромулом и Ремом ок. 754.|Рим
Древнее государство.|Аусан
Древнее государство.|Ахиява
Древнее государство.|Ахмаднагар
Древнее государство.|Киш
Древнее государство.|Урарту
Древнее индейское племя, жившее на северо-западе Южной Америки.|инки
Древнее италийское племя, жившее в центральной части Апеннинского полуострова.|самниты
Древнее название Кингисепп.|Ям
Древнее название Поти.|Фасис
Древнее племя восточных славян, обитавшее в бассейне реки Десны.|северяне
Древнее племя финно-угорской языковой семьи, жившее по среднему течению реки Оки.|мещера
Древнее племя, народ Африки.|мавры
Древнее племя, народ Африки.|нубийцы
Древнее племя, народ Европы.|германцы
Древнее племя, народ Европы.|Греки
Древнее племя, народ Европы.|кельты
Древнее племя, народ Европы.|римляне
Древнее племя, народ Европы.|фризы
Древнее племя, народ Персии.|персы
Древнее племя, народ.|галлы
Древнее племя, народ.|иудеи
Древнее племя, народ.|колхи
Древнее племя, народ.|курши
Древнее племя, народ.|меоты
Древнее племя, народ.|османы
Древнее племя, народ.|саксы
Древнее племя, народ.|тореты
Древнее племя, народ.|тохары
Древнее племя, народ.|тюрки
Древнее племя, народ.|урарты
Древнее русское имя.|Хов
Древнее русское судно.|Коч
Древнее славянское раннефеодального государство.|Само
Древнее шотландское женское имя.|Арабелла
Древнееврейский струнный музыкальный инструмент.|киннор
Древнеегипетский музыкальный инсрумент.|систр
Древнейшее наименование славянских племен, живших по Висле и побережью Балтийского моря, встречающееся у античных авторов в I в. н.э.|венеды
Древнейшее финно-угорское племя, обитавшее в Волго-Окском междуречье.|меря
Древнейшие племена, населявшие Северное Причерноморье в VIII-VII вв. до н.э.|киммерийцы
Древнекитайская книга гаданий (роман Гессе «Игра в бисер»).|Ицзин
Древнекитайский музыкальный инструмент.|нао
Древнеримская разновидность арфы.|наблий
Древнеримский духовой музыкальный инструмент.|тибия
Древнеримский знаменитый трагический актёр, современник и друг Цицерона, Элоп ...?|Клавдий
Древнеримский писатель, автор труда «О знаменитых людях».|Непот
Древнерусский духовой музыкальный инструмент.|сурна
Древнерусский струнный музыкальный инструмент.|домра
Древнеславянское имя.|Яра
Древнеславянское племя, народ Европы.|хорваты
Древнеславянское племя.|бужане
Древнеславянское племя.|венды
Древнеславянское племя.|венеды
Древнеславянское племя.|дулебы
Древнеславянское племя.|кашубы
Древнеславянское племя.|полабы
Древнеславянское племя.|руяне
Древнеславянское племя.|сербы
Древние племена Испании.|иберы
Древние племена Средней Азии, язык которых принадлежит к семье индоевропейских.|тохары
Древние племена, жившие на северо-востоке Иранского нагорья.|парфяне
Древний арабский музыкальный инструмент, предшественник лютни.|УД
Древний армянский струнный музыкальный инструмент.|Джнар
Древний город близ Ашхабада, резиденция царя Парфии.|Ниса
Древний город на о. Крит.|Кносс
Древний город на территории современной Сирии.|Пальмира
Древний город Туниса.|Карфаген
Древний духовой музыкальный инструмент, напоминающий свирель с раздвоенной тростью.|Авлос
Древний музыкальный инструмент.|тимпан
Древний римский город.|Помпеи
Древний ударный музыкальный инструмент в виде двух медных тарелок.|кимвал
Древний ударный музыкальный инструмент, род тарелок.|тимпан
Древний ударный музыкальный инструмент, состоящий из двух медных тарелок или чаш, издававших при ударе друг о друга громкий звенящий звук.|кимвал
Древний центр цивилизации в Западной Африке.|Ифе
Древняя английская свирель.|пайп
Древняя область в Греции.|Арголида
Древняя область в Греции.|Аркадия
Древняя область в Греции.|Беотия
Древняя область в Греции.|Дорида
Древняя область в Греции.|Фокида
Древняя область в Греции.|Фракия
Древняя область в Греции.|Элида
Древняя страна в Передней Азии, между Мертвым морем и заливом Акаба.|Эдом
Древняя страна в Южном Двуречье.|Шумер
Духовой музыкальный инструмент (Баски).|альбока
Духовой музыкальный инструмент высокого тона.|флейта
Духовой музыкальный инструмент сопранового диапазона.|флюгельгорн
Духовой музыкальный инструмент, используемый в Таджикистане и Узбекистане.|карнай
Духовой музыкальный инструмент, служащий обычно для подачи звуковых сигналов.|горн
Духовой музыкальный инструмент, старинная Новозел. дудка.|коауау
Духовой музыкальный инструмент.|альтгорн
Духовой музыкальный инструмент.|баритон
Духовой музыкальный инструмент.|блур
Духовой музыкальный инструмент.|волынка
Духовой музыкальный инструмент.|гобой
Духовой музыкальный инструмент.|дуда
Духовой музыкальный инструмент.|дудка
Духовой музыкальный инструмент.|кларнет
Духовой музыкальный инструмент.|офиклейд
Духовой музыкальный инструмент.|рог
Духовой музыкальный инструмент.|тилинко
Духовой музыкальный инструмент.|тромбон
Духовой музыкальный инструмент.|труба
Духовой музыкальный инструмент.|туба
Духовой музыкальный инструмент.|фагот
Духовой музыкальный инструмент.|флейта
Духовой музыкальный инструмент.|шалмей
Духовой музыкальный инструмент; вырост на голове копытных.|рог
Духовой музыкальный инструмент; приток Енисея.|туба
Духовой мундштучный музыкальный инструмент.|корнет
Еврейская буква.|Вав
Еврейская буква.|Ламед
Еврейская буква.|Нун
Еврейская буква.|Реш
Еврейская буква.|Тав
Европейская династия.|Габсбург
Европейская династия.|Готторп
Египетская династия.|Мамлюк
Египетская династия.|Рамсесид
Египетская династия.|Тулунид
Египетская, сирийская династии.|Айюбид
Египетский фараон.|Рамзес
Египетский фараон.|Рамсес
Египетский фараон.|Сети
Египетский фараон.|Хеопс
Египетский фараон.|Яхмес
Единица веса в Индии.|адапава
Единица длины в Индии.|косс
Единица длины в Испании, Бразилии.|пасо
Единица длины в Латинской Америке.|браса
Единица длины в некоторых странах Латиноамериканских Америки.|вара
Единица длины в ряде стран Латинской Америки и Португалии.|браса
Единица длины во многих странах Латинской Америки.|вара
Единица длины, используемая в нек рых национальных неметрических системах единиц.|миля
Единица массы в английской системе мер.|стон
Единица массы в Китае.|лян
Единица массы и объема в некоторых странах Латинской Америки.|арроба
Единица площади в Венгрии.|хольд
Единица площади в Китае.|ли
Единица силы в Германии и Австрии.|понд
Единица силы света.|дина
Единица типографского измерения.|пункт
Женское имя.|Августа
Женское имя.|Аврора
Женское имя.|Агата
Женское имя.|Аглаида
Женское имя.|Агнесса
Женское имя.|Агния
Женское имя.|Аграфена
Женское имя.|Агриппина
Женское имя.|Ада
Женское имя.|Аделаида
Женское имя.|Акулина
Женское имя.|Алевтина
Женское имя.|Александра
Женское имя.|Алина
Женское имя.|Алиса
Женское имя.|Алла
Женское имя.|Альбина
Женское имя.|Анастасия
Женское имя.|Анжелика
Женское имя.|Анисия
Женское имя.|Анисья
Женское имя.|Антонида
Женское имя.|Антонина
Женское имя.|Аполлинария
Женское имя.|Арина
Женское имя.|Ася
Женское имя.|Берта
Женское имя.|Бэла
Женское имя.|Валерия
Женское имя.|Василиса
Женское имя.|Васса
Женское имя.|Венера
Женское имя.|Влада
Женское имя.|Галина
Женское имя.|Глафира
Женское имя.|Гликерия
Женское имя.|Дарья
Женское имя.|Диана
Женское имя.|Ева
Женское имя.|Евлампия
Женское имя.|Елена
Женское имя.|Ефимия
Женское имя.|Ефимья
Женское имя.|Жозефина
Женское имя.|Зинаида
Женское имя.|Злата
Женское имя.|Изольда
Женское имя.|Инга
Женское имя.|Индира
Женское имя.|Инна
Женское имя.|Ираида
Женское имя.|Ирма
Женское имя.|Каролина
Женское имя.|Клавдия
Женское имя.|Кристина
Женское имя.|Ксения
Женское имя.|Лена
Женское имя.|Лиана
Женское имя.|Лиза
Женское имя.|Лилия
Женское имя.|Лия
Женское имя.|Лолита
Женское имя.|Лора
Женское имя.|Луиза
Женское имя.|Лукерья
Женское имя.|Людмила
Женское имя.|Мавра
Женское имя.|Магда
Женское имя.|Майя
Женское имя.|Манефа
Женское имя.|Марта
Женское имя.|Марья
Женское имя.|Меланья
Женское имя.|Мэри
Женское имя.|Нелли
Женское имя.|Нонна
Женское имя.|Ольга
Женское имя.|Павла
Женское имя.|Полина
Женское имя.|Раиса
Женское имя.|Ревекка
Женское имя.|Регина
Женское имя.|Римма
Женское имя.|Роза
Женское имя.|Руфина
Женское имя.|Сарра
Женское имя.|Софья
Женское имя.|Стелла
Женское имя.|Степанида
Женское имя.|Таисия
Женское имя.|Тереза
Женское имя.|Улита
Женское имя.|Ульяна
Женское имя.|Устинья
Женское имя.|Фаина
Женское имя.|Феврония
Женское имя.|Федора
Женское имя.|Фекла
Женское имя.|Феона
Женское имя.|Хая
Женское имя.|Христина
Женское имя.|Цецилия
Женское имя.|Шарлотта
Женское имя.|Эвелина
Женское имя.|Элла
Женское имя.|Эльвира
Женское имя.|Эсфирь
Женское имя.|Юлия
Женское имя.|Юнона
Женское имя.|Ядвига
Женское имя.|Яна
Женское имя; балет Делиба; роман Синклера.|Сильвия
Животное, разводимое для получения ценного меха.|куница
Животное, разводимое для получения ценного меха.|лиса
Животное, разводимое для получения ценного меха.|нутрия
Животное, разводимое для получения ценного меха.|песец
Животное, разводимое для получения ценного меха.|соболь
Житель азиатского государства.|кхмер
Житель азиатского государства.|турок
Житель восточноазиатского государства.|кореец
Житель города на Иртыше.|омич
Житель государства Центральной Европы.|швейцарец
Житель европейского города.|афинянин
Житель европейского государства.|испанец
Житель европейского государства.|литовец
Житель европейского государства.|швед
Житель областного центра России.|омич
Житель провинции Испании.|баск
Житель среднеазиатского государства.|казах
Житель среднеазиатского государства.|узбек
Житель среднеазиатского государства; город в Азербайджане.|казах
Залив в Балтийском море.|Рижский
Залив в Индийском океане.|Персидский
Залив в Северном Ледовитом Океане, Чукотское море.|Коцебу
Залив в Северном Ледовитом океане.|Баффинов
Залив в Тихом океане.|Сахалинский
Заменитель кожи.|ворсит
Заменитель кожи.|кожелит
Заменитель кожи.|фибра
Заменитель кожи.|футор
Зарубежное информационное агентство.|Рейтер
Заслуженный тренер сборной команды СССР по хокею с шайбой.|Тихонов
Звезда американской эстрады и кино.|Мадонна
Звезда английской эстрады.|Стинг
Звезда Голливуда по имени Джон.|Траволта
Звезда Голливуда по имени Мел.|Гибсон
Звезда Голливуда по имени Роджер.|Мур
Звезда Голливуда по имени Том.|Круз
Звезда Голливуда, мастер айкидо.|Сигал
Звезда голливуда, чемпион по каратэ.|Норрис
Звезда канадской эстрады, сочинитель музыки к фильму «Три мушкетера».|Адамс
Звезда мексиканских любовных телесериалов, от которой плакали не только богатые.|Кастро
Звезда мирового кино, мечтающая сняться в фильме по роману «Осень патриарха».|Брандо
Звезда песенного жанра, делающая бизнес на рекламе презервативов.|Салтыкова
Звезда российского кино из телефильма «Золотая мина».|Даль
Звезда российского кино из фильма «Мусульманин».|Миронов
Звезда российского кино из фильма «Ты - мне я - тебе».|Носик
Звезда российской эстрады.|Данко
Звезда русского рока.|Цой
Звезда французского кино, которая просто ненавидит праздник 8 марта.|Денев
Звезда эстрады, основная популярность к которой пришла после дурацкой рекламы «Дирола».|Орбакайте
Звездная покровительница патриарха российской песни Иосифа Кобзона.|дева
Звездная роль народного артиста России Кирилла Лаврова в спектакле «Мещане» Максима Горького.|Нил
Зерновая культура.|гаолян
Зерновая культура.|овес
Зерновая культура.|пайза
Зерновая культура.|просо
Зерновая культура.|рожь
Зерновая культура.|сорго
Зерновая культура.|ячмень
Зимний сорт яблони.|антоновка
Зимний сорт яблони.|скрижапель
Злак, сорго.|гаолян
Злак, травянистое растение.|джугара
Злак, травянистое растение.|луговик
Злак, травянистое растение.|мятлик
Злак, травянистое растение.|тростник
Змея.|випера
Змея.|гадюка
Змея.|кобра
Змея.|куффия
Змея.|офидия
Змея.|уж
Знаменитый бразильский футболист.|Диди
Зодиакальный знак, под которым родился Александр Герцен.|Овен
Известная марка автомобилей США.|Каддилак
Известная марка автомобилей США.|Линкольн
Известная марка автомобилей США.|Меркьюри
Имя.|Рахиль
Имя.|Рената
Имя.|Элеонора
Индийский музыкальный инструмент.|саатара
Индийский музыкальный инструмент.|табла
Индийский народный инструмент.|саранги
Индийский народный инструмент.|ситар
Индийский струнный музыкальный инструмент.|сарод
Индийский струнный щипковый музыкальный инструмент.|вина
Индийский ударный музыкальный инструмент.|мриданга
Индонезийский музыкальный инструмент.|сарон
Индонезийский надодный инструмент.|сулинг
Индонезийский народный инструмент.|бонанг
Инструмент.|молоток
Инструмент.|тесло
Инструмент.|шило
Иранская золотая монета с 18 века по 1930-32 гг (туман).|томан
Испанская команда, за которую выступал Арвидас Сабонис.|Реал
Испанский народный танец.|болеро
Испанский народный танец.|кумпарсита
Испанский народный танец.|нота
Испанский народный танец.|хота
Испанский парный танец.|болеро
Испанский старинный струнный музыкальный инструмент, разновидность гитары.|виуэла
Испанский струнный музыкальный инструмент.|рабель
Испанский танец.|болеро
Испанский танец.|качуча
Испанский ударный музыкальный инструмент.|волохов
Испанский ударный музыкальный инструмент.|кастаньеты
Испанский ударный музыкальный инструмент.|пандеро
Испанский футбольный клуб.|Реал
Испанское виноградное вино.|малага
Исполнитель песен «Замок из дождя», «Стюардесса по имени Жанна».|Пресняков
Историческая дисциплина.|архивоведение
Историческая дисциплина.|атрибутика
Историческая дисциплина.|востоковедение
Итальянский автомобиль.|Ланча
Итальянский драматург, «Король-олень».|Гоцци
Итальянский драматург, «Любовь к трем апельсинам».|Гоцци
Итальянский драматург, автор комедий «Турандот», «Любовь к трем апельсинам».|Гоцци
Итальянский драматург, автор пьесы «Принцесса Турандот».|Гоцци
Итальянский живописец, автор серии картин «Семь таинств».|Креспи
Итальянский кинорежиссёр («Бал»).|Скола
Итальянский кинорежиссёр, постановщик фильма «Однажды в Америке».|Леоне
Итальянский композитор и певец, один из создателей оперы.|Пери
Итальянский композитор, автор опер «Богема», «Заза».|Леонковалло
Итальянский композитор, автор оперы «Мефистофель».|Бойто
Итальянский композитор, автор первой русскоязычной оперы.|Арайя
Итальянский композитор, балеты: «Ундина», «Эсмиральда».|Пуни
Итальянский композитор, опера «Андромеда».|Сарти
Итальянский композитор, опера «Замок Атланты».|Росси
Итальянский композитор, опера «Митридат».|Сарти
Итальянский композитор, оперы «Антигона», «Аттила», «Бал- маскарад».|Верди
Итальянский композитор, оперы «Корсар», «Ломбардцы», «Макбет».|Верди
Итальянский композитор, оперы «Набукко», «Оберто», «Отелло».|Верди
Итальянский композитор, оперы «Римини», «Стиффелио», «Травиата».|Верди
Итальянский композитор, оперы «Сила судьбы», «Разбойники», «Риголетто».|Верди
Итальянский композитор, оперы «Трубадур», «Фальстаф», «Эрнари».|Верди
Итальянский композитор, оперы: «Медея», «Элиза», «Водовоз», «Анакреон», «Лодоиска».|Керубини
Итальянский композитор, основатель русского балета.|Пуни
Итальянский композитор, певец, оперы: «Дафна», «Адонис», «Фемида».|Пери
Итальянский футбольный клуб.|Интер
Итальянский футбольный клуб.|Наполи
Итальянский футбольный клуб.|Парма
Итальянский футбольный клуб.|Перуджа
Итальянский футбольный клуб.|Рома
Итальянский футбольный клуб.|Ювентус
Итальянский щипковый музыкальный инструмент.|китаррон
Итальянское авто.|Фиат
Итальянское виноградное вино.|киянти
Итальянское крепкое виноградное вино.|марсала
Итальянское мужское имя.|Энрико
Итальянское сладкое белое вино.|саутерн
Кабардинский и адыгейский надодный танец.|исламий
Кабардинский танец.|кафа
Кавказец.|абазин
Кавказский духовой язычковый музыкальный инструмент.|дудук
Казахский ВИА, популярный в 80-е годы.|Ялла
Казахский смычковый музыкальный инструмент.|кобыз
Какой знак зодиака покровительствует Алену Делону?|скорпион
Какой футболист «Спартака» играет под девятым номером?|Титов
Какой футбольный клуб тренерует алек фергюсон?|Манчестер
Карело-финский струнный музыкальный инструмент типа гуслей.|кантеле
Карельские гусли.|кантеле
Карельский духовой музыкальный инструмент.|лиру
Карельский музыкальный инструмент.|кантеле
Карельский танцевальный коллектив.|Айно
Карточная игра.|банк
Карточная игра.|банчок
Карточная игра.|белот
Карточная игра.|бостон
Карточная игра.|бридж
Карточная игра.|бура
Карточная игра.|винт
Карточная игра.|вист
Карточная игра.|железка
Карточная игра.|карты
Карточная игра.|макао
Карточная игра.|очко
Карточная игра.|памфил
Карточная игра.|тапет
Карточная игра.|штосс
Карточная игра.|шутиха
Карточная игра.|экарте
Карфагенский полководец.|Ганнибал
Карфагенский полководец.|Гасдрубал
Киргизская лютня.|комуз
Киргизская народная инструментальная пьеса, исполняемая на комузе, кыяке, сурнае.|кю
Киргизская скрипка.|кыяк
Киргизский смычковый музыкальный инструмент.|кыяк
Киргизский щипковой музыкальный инструмент.|комуз
Китайская флейта.|ди
Китайский (тибетский) духовой язычковый музыкальный инструмент.|мабу
Китайский музыкальный инструмент, род губного органа.|шэн
Китайский смычковый музыкальный инструмент.|хуцинь
Китайский смычковый музыкальный инструмент.|эрху
Китайский старинный музыкальный инструмент.|ди
Китайский струнный музыкальный инструмент.|янцинь
Китайский ударный музыкальный инструмент.|баньгу
Китайский язычковый музыкальный инструмент.|лушен
Китайский язычковый музыкальный инструмент.|мабу
Клавишный музыкальный инструмент.|спинет
Клавишный музыкальный инструмент.|флюгель
Кожа натуральня.|замша
Кожа натуральня.|лайка
Кожа натуральня.|опоек
Кожа натуральня.|сафьян
Кожа натуральня.|шеврет
Кожа натуральня.|шегрень
Кожа натуральня.|юфть
Команда собаке.|апорт
Команда собаке.|куси
Композитор (балет «Тийна»).|Аустер
Композитор (опера «Анджело»).|Кюи
Композитор (опера «Анджело»).|Кюн
Композитор XVIII в., автор оперы «Орфей и Эвридика».|Глюк
Композитор оперы «Фальстаф».|Верди
Композитор, «Реквием».|Артемов
Композитор, автор балета «Ангара».|Эшпай
Композитор, автор оперетты «Мадемуазель Нитуш».|Эрве
Композитор, автор оперы «Кармен».|Бизе
Композитор, автор оперы «Фауст».|Шпор
Композитор, автор оратории «Ода солдату».|Левина
Композитор, автор песни «Орленок».|Белый
Композитор, автор песни «Тройка».|Булахов
Композитор, автор сюиты «Кикимора».|Лядов
Композитор, балет «Абакаяда».|Пейко
Композитор, балет «Асель».|Власов
Композитор, балеты «Пламя Парижа», «Бахчисарайский фонтан».|Асафьев
Композитор, балеты: «Мастер и Маргарита», «Сотворение мира».|Петров
Композитор, народный артист СССР, автор вокально симфонического произведения «Кантата о Родине».|Арутюнян
Композитор, один из основоположников современной американской музыки.|Айвз
Композитор, опера «Американцы».|Фомин
Композитор, опера «Броненосец Потемкин».|Чишко
Композитор, опера «Вражья сила».|Серов
Композитор, опера «Джордано».|Квинт
Композитор, опера «Мана».|Власов
Композитор, опера «Орфей».|Фомин
Композитор, опера «Рогнеда».|Серов
Композитор, опера «Севиль».|Амиров
Композитор, опера «Юдифь».|Серов
Композитор, опера «Ямщик на подставе».|Фомин
Композитор, певец по имени Игорь.|Николаев
Композитор, пианист и дирижер, народный артист СССР.|Паулс
Композитор, пианист, руководитель ансамбля «Модо».|Паулс
Композитор, пишущий для С. Ротару.|Матецкий
Композитор, симфоническая картина «Мцыри».|Азаров
Конный экипаж.|бричка
Конный экипаж.|дормез
Конный экипаж.|дрожки
Конный экипаж.|ландо
Конный экипаж.|лошади
Конный экипаж.|рыдван
Конный экипаж.|фаэтон
Конный экипаж.|фиакр
Корейская династия.|Коре
Корейская лирическая поэма.|Каса
Корейская марка авто.|Киа
Корейская флейта.|со
Корейский духовой музыкальный инструмент.|тансо
Корейский щипковый музыкальный инструмент.|каягым
Кровельный материал.|гонт
Кровельный материал.|изол
Кровельный материал.|толь
Крупная промысловая рыба семейства осетровых, обитающая в бассейнах Черного, Каспийского, Азовского и Аральского морей.|шип
Крупная промысловая рыба семейства осетровых.|севрюга
Крупная промысловая рыба семейства осетровых.|стерлядь
Крупная птица отряда куриных с ярким оперением у самцов.|фазан
Крупная птица отряда куриных с ярким оперением.|фазан
Крупная птица семейства журавлеобразных.|дрофа
Крупная птица.|журавль
Крупная рептилия.|крокодил
Крупная речная рыба.|сом
Крупная хищная птица семейства ястребиных, обитающая по берегам морей.|орлан
Крупная хищная птица семейства ястребиных.|беркут
Крупная хищная птица семейства ястребиных.|коршун
Крупная хищная птица.|беркут
Кубинский музыкальный инструмент.|тимбалес
Кубинский струнный музыкальный инструмент.|типле
Кубинский шумовой музыкальный инструмент.|гуиро
Кушанье.|долма
Кушанье.|еда
Кушанье.|желе
Кушанье.|пастила
Кушанье.|суп
Куябия, Куяба; один из трех центров Древней Руси.|Куявия
Куябия, Куяба; один из трех центров Древней Руси;историческая область Польши.|Куявия
Латвийский духовой музыкальный инструмент.|ажурагс
Латвийский композитор (опера «К новому берегу»).|Заринь
Латвийский композитор (опера «К новому берегу»); художник.|Заринь
Латвийский писатель (ром.»Вешние воды», трил. «Ветеран»).|Ниедре
Латиноамериканский ударный музыкальный инструмент.|конги
Латиноамериканский щипковый музыкальный инструмент.|гитаррон
Латышский праздник.|лиго
Латышский струнный щипковый музыкальный инструмент.|кокле
Легковушка из ФРГ.|Ауди
Лекарственное растение, кустарник.|барбарис
Лекарственное растение, кустарник.|калина
Лекарственное травянистое болотное растение.|кувшинка
Лекарственное травянистое растение.|зверобой
Лекарственное травянистое растение.|лен
Лекарственное эфиромасличное растение.|душица
Лекарственный настой.|ромашка
Лесная птица отряда воробьиных.|дрозд
Лесная птица отряда воробьиных.|иволга
Лесная птица семейства вьюрковых.|клест
Лесная птица семейства тетеревиных с пестрым оперением.|рябчик
Лесная птица.|деряба
Лесная птица.|иволга
Лесная птица.|кукушка
Лесная птица.|снегирь
Лесная птица.|сорока
Летний сорт яблони.|мелба
Летчик-космонавт Болгарии, подполковник, Герой Болгарии (1979), Герой Советского Союза (1979). Первый гражданин Болгарии, совершивший полет в космос.|Иванов
Летчик-космонавт Венгрии, Герой Венгрии (1980), Герой Советского Союза (1980), подполковник. Первый гражданин Венгрии, совершивший полет в космос.|Фаркаш
Летчик-космонавт Монголии, Герой МНР (1981), Герой Советского Союза (1981), генерал-майор (1984). Первый гражданин Монголии, совершивший полет в космос.|Гуррагча
Летчик-космонавт Республики Афганистан, капитан, Герой Советского Союза (1988), Герой Республики Афганистан (1988). Первый гражданин афганистана, совершивший полет в космос.|Моманд
Летчик-космонавт Румынии, подполковник-инженер (1981), Герой Румынии (1981), Герой Советского Союза (1981). Первый гражданин Румынии, совершивший полет в космос.|Прунариу
Летчик-космонавт Сирийской Арабской Республики, Герой Советского Союза (1987), подполковник. Член Партии арабского социалистического возрождения (с 1973). Первый гражданин Сирии, совершивший полет в космос.|Фарис
